"","V1","V2"
"Votu-92",0.0411674251818448,0.0473670621641417
"Votu-93",0.111068923857986,-0.183593860800623
"Votu-94",0.0462911212579475,0.0512437545589419
"Votu-95",-0.0945779633371666,-0.00124078292167638
"Votu-96",0.0224352800461419,0.0493694261683305
"Votu-97",-0.246952834524336,-0.078531651762277
"Votu-98",0.0449015174781393,0.0620697521743278
"Votu-99",0.0369371722359402,0.0316674239350479
"Votu-100",0.0419876539459729,0.0378040865869775
"Votu-101",0.0253572667558592,0.035394911947445
"Votu-102",-0.318944114400504,-0.11189524871987
"Votu-103",-0.0418062679756263,0.0142368005777555
"Votu-104",0.0542326392057535,0.0703519759901561
"Votu-105",0.0580731709106772,0.0717777987245474
"Votu-106",0.0229828698688891,0.056585096101084
"Votu-107",0.0344868915848252,0.0400487741353345
"Votu-108",0.0573940675722294,-0.0230751829853318
"Votu-109",-0.0236175591234211,0.0154689883889998
"Votu-110",0.0407348869193452,0.0474060467634668
"Votu-111",0.0267285221610862,0.0235877710547043
"Votu-112",0.015235803016094,0.0249146254736164
"Votu-113",0.0168927694026623,0.034273223477224
"Votu-114",-0.0566806649548789,0.00791731048011296
"Votu-115",0.0820733711762704,0.106787020818541
"Votu-116",0.0387163080888815,0.0421760718066672
"Votu-117",0.0390717049034893,0.0437897840727822
"Votu-118",0.0638778956776783,-0.0979581152173492
"Votu-119",0.0311863053024619,0.0414851695719476
"Votu-120",0.0447677896838818,0.0521731919689014
"Votu-121",0.0776316658642301,-0.0581800523160741
"Votu-122",0.0198316547229895,0.0336375991638664
"Votu-123",-0.393665990182309,-0.133708469679421
"Votu-124",0.0395787472281955,0.0414697697622225
"Votu-125",0.00156172557453002,0.0358383879104371
"Votu-126",0.0175484663443956,0.0263550769881171
"Votu-127",0.0506839921238528,0.0619303251112145
"Votu-128",0.0832012602214385,0.111818447793368
"Votu-129",0.0380530687300137,0.0358837283145001
"Votu-130",-0.0599155129324529,0.00705210436684937
"Votu-131",0.059540796350467,0.0725087227648284
"Votu-132",0.0404028064012156,0.0159139660069019
"Votu-133",0.072824529478317,-0.00668049057308316
"Votu-134",-0.0836732514923516,-0.0171501788070824
"Votu-135",0.2636382271419,-0.467768265445143
"Votu-136",0.0970123246496156,-0.0337602010500113
"Votu-137",0.0638629819070832,0.0815241576825875
"Votu-138",0.0581954027619709,0.0778661587779999
"Votu-139",0.101846048276797,0.136203267805861
"Votu-140",-0.168378595380058,-0.0755243736426155
"Votu-141",-0.0155595457023214,0.01356972555898
"Votu-142",NA,NA
"Votu-143",0.104011443243004,0.141855887264086
"Votu-144",0.0234051335382242,0.0383897169640941
"Votu-145",0.04987836599084,0.0588185025211968
"Votu-146",0.0399415218428088,0.035124953285083
"Votu-147",0.0534641205768063,0.0745809504710257
"Votu-148",0.0607608847402507,0.0849556061373606
"Votu-149",0.0774035846291596,0.099153878449465
"Votu-150",0.0412362370887274,0.0319784606233206
"Votu-151",0.0171512756529412,0.041938412501996
"Votu-152",0.0256237446081313,0.0377232278448606
"Votu-153",0.0633195471583823,-0.0629438908237193
"Votu-154",0.0423882772966031,0.0473597200359177
"Votu-155",-0.00328788673010262,-0.0296671595180157
"Votu-156",0.0412680425196673,0.039453374900201
"Votu-157",-0.122385612545211,-0.0239002751489202
"Votu-158",0.176908936759752,-0.264526358654912
"Votu-159",0.0937580598572597,0.123835341712343
"Votu-160",0.0411796585458096,0.0393648769831952
"Votu-161",0.0722404453185191,0.0903807124067667
"Votu-162",0.0589598204264121,0.062411381308957
"Votu-163",0.035676041049237,0.0443723370863121
"Votu-164",-0.0306545856087209,0.0236977740000366
"Votu-165",-0.125534330650207,-0.02390406000206
"Votu-166",0.0629934238605016,-0.138041939904322
"Votu-167",-0.446840967109174,-0.152780503919755
