,names,PCoA1,PCoA2,group,deal,type,repet
101,Early-91,0.0561608153608309,0.0634063251395608,Early ABX,normal,Early ABX,91
102,Early-92,-0.0896558663745406,-0.00509037486822527,Early ABX,normal,Early ABX,92
103,Early-93,0.315075917676713,-0.593064045894475,Early ABX,normal,Early ABX,93
104,Early-94,-0.509117099977622,-0.177232844468001,Early ABX,normal,Early ABX,94
105,Early-95,0.0471383658402513,0.0531165031161244,Early ABX,normal,Early ABX,95
106,Early-96,0.0893655176080133,0.106909839954026,Early ABX,normal,Early ABX,96
107,Early-97,0.0504241672767077,0.0586691849046075,Early ABX,normal,Early ABX,97
108,Early-98,0.035112188881766,0.032154626641959,Early ABX,normal,Early ABX,98
109,Early-99,0.00951292393095964,0.0204175897229134,Early ABX,normal,Early ABX,99
110,Late-1,0.0516075621354433,0.0672078036226466,Late ABX,normal,Late ABX,1
111,Late-10,-0.032046205985044,0.0788836373185938,Late ABX,normal,Late ABX,10
112,Late-11,0.00259230960234067,0.0911507629293537,Late ABX,normal,Late ABX,11
113,Late-12,-0.210076023238068,-0.00276987298794943,Late ABX,normal,Late ABX,12
114,Late-13,-0.00534794716399589,0.087329783060606,Late ABX,normal,Late ABX,13
115,Late-14,0.0427101823714747,0.0462204271132333,Late ABX,normal,Late ABX,14
116,Late-15,0.0357595892535047,0.0321838854292136,Late ABX,normal,Late ABX,15
117,Late-16,0.0958263508796632,0.116699283697776,Late ABX,normal,Late ABX,16
118,Late-17,0.0167235076457999,0.0310979474318021,Late ABX,normal,Late ABX,17
119,Late-18,-0.0899354991304511,-0.0300091286177798,Late ABX,normal,Late ABX,18
120,Late-19,-0.00325520624691372,0.0881801610734304,Late ABX,normal,Late ABX,19
121,Late-2,-0.0252690969089314,0.00337717099255839,Late ABX,normal,Late ABX,2
122,Late-20,0.0451839129378535,0.0566790527156964,Late ABX,normal,Late ABX,20
123,Late-21,0.10893994042499,-0.130555646103564,Late ABX,normal,Late ABX,21
124,Late-22,-0.204431158231159,-0.0517008062716488,Late ABX,normal,Late ABX,22
125,Late-23,0.044707046591652,0.0455538820272937,Late ABX,normal,Late ABX,23
126,Late-3,-0.172394032414353,-0.0536150296187223,Late ABX,normal,Late ABX,3
127,Late-4,0.044128510623622,0.0118235304835861,Late ABX,normal,Late ABX,4
128,Late-5,-0.136441486716771,-0.026626682247914,Late ABX,normal,Late ABX,5
129,Late-6,0.0438280023226763,0.0452296054310955,Late ABX,normal,Late ABX,6
130,Late-7,-0.0667867385909639,-0.0059233465616071,Late ABX,normal,Late ABX,7
131,Late-8,0.0124160947671511,0.0210433499884037,Late ABX,normal,Late ABX,8
132,Late-9,0.0861119790453978,0.104908708779307,Late ABX,normal,Late ABX,9
133,No-1,0.111036954909109,0.13702446239394,No ABX,normal,No ABX,1
134,No-2,0.0848127444757301,0.106044096580659,No ABX,normal,No ABX,2
135,No-3,0.107854834621519,0.136385829709914,No ABX,normal,No ABX,3
136,No-4,-0.0170983357767869,0.0568739317590871,No ABX,normal,No ABX,4
137,No-5,0.0236040463460106,0.0658464382581265,No ABX,normal,No ABX,5
138,No-6,-0.131600060781782,0.00253408511774484,No ABX,normal,No ABX,6
